country_code,democracy_index
4,28.50
8,58.90
12,40.10
24,37.20
32,70.20
51,55.40
36,90.90
40,82.90
31,27.50
48,25.50
50,58.80
112,24.80
56,76.40
204,50.90
64,53.00
68,48.40
70,48.60
72,78.10
76,68.60
100,70.30
854,40.40
108,21.50
116,35.30
120,28.50
124,92.20
132,77.80
140,13.20
148,16.10
152,80.80
156,22.60
170,71.30
174,31.50
180,11.30
178,31.10
188,81.30
384,40.50
191,65.70
192,28.40
196,75.90
203,76.90
208,92.20
262,27.70
214,65.40
218,63.30
818,30.60
222,61.50
226,19.20
232,23.70
233,79.00
231,34.40
242,58.50
246,92.50
250,81.20
266,36.10
270,43.30
268,54.20
276,86.80
288,66.30
300,74.30
320,52.60
324,31.40
624,26.30
328,61.50
332,45.70
340,54.20
344,60.20
348,66.30
352,95.80
356,69.00
360,64.80
364,23.80
368,37.40
372,92.40
376,78.60
380,75.20
388,69.60
392,79.90
400,39.30
398,29.40
404,51.80
414,39.30
417,48.90
418,21.40
428,74.90
422,43.60
426,65.40
430,54.50
434,20.20
440,75.00
442,88.10
807,59.70
450,56.40
454,55.00
458,71.60
466,49.20
470,79.50
478,39.20
480,82.20
484,60.90
498,57.50
496,65.00
499,56.50
504,51.00
508,36.50
104,35.50
516,64.30
524,52.80
528,90.10
554,92.60
558,35.50
562,32.90
566,41.20
408,10.80
578,98.70
512,30.60
586,42.50
275,38.90
591,70.50
598,60.30
600,62.40
604,66.00
608,66.40
616,66.20
620,80.30
634,31.90
642,64.90
643,31.10
646,31.60
682,19.30
686,58.10
688,64.10
694,48.60
702,60.20
703,71.70
705,75.00
710,72.40
410,80.00
724,82.90
144,62.70
729,27.00
740,69.80
752,93.90
756,90.30
760,14.30
762,19.30
834,51.60
764,63.20
626,71.90
768,33.00
780,71.60
788,67.20
792,40.90
795,17.20
800,50.20
804,59.00
784,27.60
826,85.20
840,79.60
858,83.80
860,20.10
862,28.80
704,30.80
887,19.50
894,50.90
716,31.60
