country_code,infant_mortality_per1000_births
4,51.70
8,8.00
12,21.20
24,61.50
28,5.20
32,10.20
51,10.80
533,13.60
36,3.10
40,3.20
31,20.80
44,5.90
48,6.00
50,26.80
52,10.00
112,3.00
56,2.80
84,12.80
204,61.10
64,24.10
68,29.70
70,6.00
72,30.20
76,13.00
96,7.90
100,6.30
854,54.20
108,42.40
132,16.90
116,23.70
120,61.20
124,4.50
140,81.90
148,74.50
830,6.10
152,6.70
156,9.90
344,1.30
446,2.60
170,12.60
174,53.10
178,35.30
188,7.30
384,60.40
191,4.00
192,4.50
531,9.10
196,3.50
203,2.30
408,13.90
180,64.90
208,3.10
262,33.40
214,25.90
218,13.60
818,15.60
222,14.60
226,66.10
232,34.70
233,2.00
748,41.40
231,37.00
242,20.30
246,1.70
250,3.00
254,8.70
258,6.70
266,35.30
270,44.80
268,9.40
276,3.20
288,35.60
300,2.80
308,15.00
312,4.60
316,8.70
320,20.70
324,51.60
624,57.10
328,26.80
332,54.30
340,15.00
348,4.10
352,1.30
356,32.00
360,18.90
364,12.80
368,24.10
372,2.70
376,2.70
380,2.60
388,11.80
392,1.80
400,14.60
398,7.70
404,36.30
296,43.00
414,7.10
417,15.50
418,38.80
428,3.30
422,9.40
426,62.30
430,54.10
434,10.50
440,4.00
442,2.90
450,29.00
454,41.30
458,5.90
462,6.80
466,65.80
470,5.00
474,5.60
478,53.40
480,11.20
175,4.20
484,13.50
583,23.50
496,18.10
499,2.80
504,19.90
508,53.90
104,38.40
516,33.40
524,27.90
528,2.50
540,11.50
554,3.80
558,16.80
562,46.30
566,62.10
578,2.10
512,7.30
158,3.70
586,61.30
591,14.10
598,41.90
600,19.00
604,12.80
608,19.70
616,3.30
620,3.00
630,5.50
634,6.30
410,2.10
498,12.40
638,2.70
642,6.70
643,5.80
646,29.20
662,12.50
670,14.60
882,13.40
678,26.40
682,6.30
686,32.70
688,4.90
690,10.90
694,80.80
702,1.60
703,4.80
705,1.90
90,15.50
706,69.30
710,27.20
728,64.40
724,2.30
144,7.60
275,17.50
729,42.90
740,17.50
752,2.00
756,3.40
760,15.50
762,29.30
764,7.80
807,10.70
626,37.30
768,49.70
776,12.50
780,22.00
788,12.70
792,8.90
795,43.30
800,46.10
804,7.20
784,5.50
826,3.80
834,41.20
840,5.80
850,8.20
858,8.70
860,20.80
548,22.40
862,25.70
704,16.70
732,28.80
887,43.20
894,45.60
716,38.70
