country_code,safe_drinking_water_access_pct
4,27.60
8,70.70
12,72.40
16,98.40
20,90.60
51,86.90
40,98.90
31,88.30
48,99.00
50,58.50
112,94.60
56,99.90
64,36.60
70,88.90
76,85.80
100,97.60
116,27.80
124,99.00
140,6.20
148,5.60
152,98.80
344,100.00
446,100.00
170,73.00
178,45.90
188,80.50
384,35.20
196,99.80
203,97.90
408,66.40
180,19.00
208,96.70
218,66.80
233,95.80
231,12.60
246,99.60
250,99.20
254,90.60
258,83.90
270,44.70
268,66.40
276,100.00
288,41.40
292,100.00
300,100.00
304,96.70
312,97.60
316,99.40
320,55.80
624,24.30
348,92.60
352,100.00
364,94.00
368,59.70
372,97.30
833,97.20
376,99.30
380,95.80
392,98.60
400,85.70
398,89.30
296,14.70
414,100.00
417,70.10
418,17.70
428,96.30
422,47.70
426,28.90
438,100.00
440,94.90
442,99.50
450,20.50
458,93.80
470,100.00
474,99.10
175,93.40
484,43.00
492,100.00
496,30.10
499,85.10
504,79.90
104,58.80
524,17.60
528,100.00
540,96.60
554,100.00
558,55.50
566,21.70
570,93.50
807,76.80
580,90.50
578,98.60
512,90.60
586,35.80
585,91.30
600,64.10
604,51.30
608,47.50
616,98.30
620,95.40
630,99.90
634,96.20
410,99.20
498,74.10
638,94.30
642,82.00
643,76.10
646,12.10
652,100.00
654,89.20
663,96.70
666,83.10
882,46.20
674,100.00
678,36.20
688,75.00
694,10.60
702,100.00
703,99.20
705,98.30
724,99.60
275,79.70
740,55.80
752,99.80
756,94.20
762,55.20
768,19.60
776,29.50
788,79.30
795,94.80
800,16.60
804,89.00
826,99.80
840,97.30
850,97.90
860,58.80
876,58.80
716,29.50
