country_code,seats_held_by_woman_pct
8,29.30
12,25.80
20,32.10
24,30.00
28,11.10
32,38.80
51,24.20
36,30.00
40,37.20
31,16.80
44,12.80
48,15.00
50,20.70
52,20.00
112,34.50
56,38.00
84,9.40
204,7.20
64,14.90
68,53.10
70,21.40
72,9.50
76,15.00
96,9.10
100,25.80
854,13.40
108,36.40
132,23.60
116,20.00
120,31.10
124,26.90
140,8.60
148,14.90
152,22.60
156,24.90
170,18.70
174,6.10
178,11.30
188,45.60
384,11.00
191,20.50
192,53.20
196,17.90
203,22.50
408,16.30
180,10.30
208,37.40
262,26.20
212,25.00
214,26.80
218,38.00
818,14.90
222,31.00
226,20.00
232,22.00
233,28.70
748,7.20
231,38.80
242,19.60
246,41.50
250,39.70
266,17.90
270,10.30
268,14.80
276,30.90
288,13.10
300,18.70
308,46.70
320,19.00
324,22.80
624,13.70
328,31.90
332,2.50
340,21.10
348,12.60
352,38.10
356,12.60
360,18.20
364,5.90
368,25.20
372,22.20
376,29.20
380,35.70
388,17.50
392,10.20
400,15.40
398,27.10
404,21.80
296,6.50
414,4.60
417,19.20
418,27.50
428,31.00
422,4.70
426,23.30
430,12.30
434,16.00
438,12.00
440,21.30
442,25.00
450,19.20
454,16.70
458,14.40
462,4.70
466,8.80
470,11.90
584,9.10
478,20.30
480,11.60
484,48.20
583,0.00
492,33.30
496,17.10
499,23.50
504,20.50
508,39.60
104,11.30
516,46.20
520,10.50
524,32.70
528,31.30
554,40.00
558,44.60
562,17.00
566,5.60
807,38.30
578,40.80
512,1.20
586,20.20
585,12.50
591,18.30
598,0.00
600,15.00
604,30.00
608,29.50
616,29.10
620,35.70
634,9.80
410,17.10
498,22.80
642,20.70
643,15.80
646,61.30
659,13.30
662,16.70
670,13.00
882,10.00
674,25.00
678,14.50
682,19.90
686,41.80
688,37.70
690,21.20
694,12.30
702,23.00
703,20.00
705,24.40
90,2.00
706,24.40
710,42.70
728,28.50
724,41.10
144,5.30
729,27.70
740,29.40
752,47.30
756,32.50
760,13.20
762,19.00
764,5.40
626,40.00
768,16.50
776,7.40
780,31.00
788,35.90
792,17.40
795,25.00
798,6.70
800,34.90
804,11.60
784,22.50
826,32.00
834,36.90
840,23.60
858,22.20
860,16.00
548,0.00
862,22.20
704,26.70
887,0.30
894,18.00
716,31.90
