country_code,unemployment_rate
4,11.20
8,12.80
12,11.50
24,6.80
32,10.40
51,16.60
36,5.30
40,4.80
31,6.00
44,11.30
48,0.80
50,4.20
52,10.90
112,4.60
56,5.70
84,6.40
204,2.00
64,2.40
68,3.50
70,18.40
72,18.70
76,12.00
96,9.00
100,3.90
854,6.40
108,1.40
132,12.30
116,0.70
120,3.40
124,5.40
140,3.70
148,1.90
830,7.50
152,7.10
156,4.40
344,4.30
446,2.50
170,9.70
174,4.40
178,9.30
188,12.70
384,3.40
191,7.10
192,1.60
196,7.20
203,1.90
408,2.80
180,4.30
208,4.90
262,10.30
214,5.90
218,4.20
818,10.10
222,4.20
226,6.50
232,5.20
233,5.40
748,22.00
231,2.10
242,4.10
246,6.70
250,8.30
258,11.90
266,20.20
270,9.10
268,14.70
276,3.00
288,4.50
300,15.50
316,5.70
320,2.50
324,4.30
624,2.50
328,11.80
332,13.90
340,5.20
348,3.50
352,3.20
356,5.40
360,4.80
364,11.20
368,12.80
372,5.20
376,3.80
380,9.80
388,8.00
392,2.30
400,14.60
398,4.60
404,2.70
414,2.30
417,6.60
418,0.60
428,6.50
422,6.30
426,22.80
430,2.70
434,18.60
440,6.30
442,5.20
450,1.80
454,5.70
458,3.40
462,6.40
466,7.30
470,3.40
478,9.60
480,6.70
484,3.70
496,6.00
499,14.80
504,9.00
508,3.20
104,1.70
516,20.60
524,1.50
528,3.00
540,12.80
554,4.00
558,7.40
562,0.50
566,8.00
807,16.40
578,3.30
512,2.60
586,4.50
591,3.80
598,2.50
600,4.80
604,3.20
608,2.20
616,3.00
620,5.90
630,8.40
634,0.10
410,4.60
498,5.40
642,3.90
643,4.40
646,1.00
662,20.20
670,18.90
882,8.40
678,13.70
682,5.90
686,6.70
688,12.70
694,4.40
702,4.40
703,5.10
705,3.80
90,0.50
706,11.40
710,28.50
728,12.30
724,13.00
144,4.20
275,26.10
729,16.60
740,7.50
752,6.70
756,4.90
760,8.50
762,11.00
764,0.80
626,4.60
768,2.00
776,1.20
780,2.80
788,16.20
792,12.90
795,4.10
800,1.90
804,8.90
784,2.50
826,4.10
834,2.00
840,3.90
850,8.80
858,8.80
860,6.10
548,4.40
862,9.40
704,2.00
732,9.40
887,12.80
894,11.40
716,5.00
